payload_number;adc_time;sg_1;sg_2;sg_3;sg_4
1;54;1639;1636;1638;1024
2;38;1643;1645;1641;1637
3;38;1635;1638;1637;1633
4;37;1635;1632;1629;1636
5;37;1638;1639;1639;1638
6;38;1635;1634;1633;1638
7;42;1636;1643;1642;1642
8;38;1639;1639;1639;1641
9;37;1640;1639;1635;1636
10;37;1640;1637;1644;1639
11;38;1641;1639;1637;1636
12;38;1638;1636;1638;1635
13;38;1639;1638;1636;1636
14;37;1644;1639;1636;1635
15;37;1640;1638;1636;1638
16;37;1637;1639;1632;1634
17;38;1631;1630;1635;1638
18;44;1631;1634;1638;1641
19;38;1641;1640;1638;1638
20;38;1644;1637;1635;1637
21;37;1639;1640;1639;1636
22;38;1639;1644;1637;1635
23;38;1636;1633;1634;1635
24;38;1638;1639;1642;1636
25;38;1642;1637;1638;1638
26;37;1632;1635;1634;1632
27;38;1637;1640;1637;1632
28;38;1633;1635;1636;1636
29;44;1640;1635;1637;1640
30;37;1640;1639;1637;1636
31;37;1642;1636;1635;1637
32;38;1640;1640;1643;1637
33;38;1639;1637;1638;1636
34;37;1635;1636;1635;1638
35;38;1640;1640;1638;1637
36;38;1643;1642;1637;1635
37;37;1635;1634;1635;1637
38;38;1636;1643;1641;1636
39;38;1638;1636;1635;1635
40;44;1632;1636;1637;1637
41;38;1635;1643;1638;1635
42;38;1639;1635;1637;1638
43;37;1641;1641;1640;1636
44;38;1642;1644;1640;1636
45;37;1637;1636;1635;1634
46;38;1639;1633;1628;1630
47;37;1630;1635;1634;1631
48;37;1638;1638;1638;1638
49;37;1640;1639;1635;1631
50;38;1640;1638;1636;1636
51;44;1639;1637;1639;1640
52;37;1639;1639;1639;1637
53;37;1645;1638;1635;1637
54;38;1638;1637;1636;1635
55;38;1638;1640;1639;1636
56;38;1635;1635;1632;1636
57;38;1641;1639;1636;1633
58;38;1642;1641;1638;1637
59;38;1640;1636;1637;1638
60;37;1638;1644;1644;1639
61;38;1641;1637;1636;1638
62;44;1639;1636;1636;1639
63;38;1638;1639;1636;1637
64;37;1637;1634;1635;1635
65;38;1638;1638;1644;1640
66;38;1631;1625;1631;1635
67;38;1640;1635;1630;1636
68;38;1638;1641;1639;1638
69;37;1644;1646;1640;1637
70;37;1634;1635;1633;1637
71;38;1639;1642;1643;1638
72;37;1637;1635;1634;1633
73;44;1638;1636;1637;1638
74;38;1637;1637;1631;1631
75;38;1641;1637;1636;1637
76;38;1640;1641;1644;1644
77;38;1637;1635;1633;1636
78;38;1638;1633;1631;1637
79;37;1638;1639;1639;1637
80;38;1643;1642;1636;1635
81;37;1637;1635;1636;1639
82;38;1639;1640;1636;1635
83;37;1635;1636;1637;1637
84;44;1638;1637;1638;1641
85;38;1639;1644;1641;1636
86;37;1638;1637;1641;1638
87;38;1640;1639;1643;1639
88;38;1638;1636;1635;1635
89;38;1637;1634;1635;1635
90;37;1639;1640;1643;1639
91;38;1639;1635;1636;1637
92;38;1640;1638;1638;1640
93;38;1639;1642;1638;1636
94;38;1639;1640;1638;1635
95;44;1635;1635;1635;1638
96;38;1635;1638;1634;1629
97;38;1636;1630;1629;1634
98;38;1637;1632;1634;1637
99;38;1640;1636;1633;1630
100;38;1642;1638;1636;1639
101;38;1641;1640;1641;1636
102;38;1642;1639;1635;1637
103;37;1639;1639;1636;1638
104;38;1639;1640;1635;1635
105;38;1643;1638;1636;1636
106;44;1633;1632;1632;1632
107;38;1636;1643;1639;1634
108;38;1639;1636;1637;1639
109;38;1641;1640;1642;1638
110;38;1640;1644;1640;1638
111;37;1637;1636;1635;1637
112;38;1641;1640;1644;1640
113;38;1644;1644;1640;1637
114;38;1637;1636;1637;1639
115;38;1637;1644;1645;1639
116;37;1640;1635;1637;1638
117;44;1638;1638;1639;1640
118;37;1640;1641;1638;1637
119;38;1643;1640;1638;1638
120;38;1638;1639;1640;1636
121;38;1640;1638;1635;1634
122;38;1636;1634;1635;1637
123;37;1637;1639;1640;1636
124;38;1643;1644;1636;1633
125;38;1637;1637;1637;1639
126;38;1638;1643;1645;1637
127;38;1640;1636;1635;1638
128;44;1639;1635;1636;1638
129;38;1638;1644;1643;1638
130;38;1640;1636;1636;1637
131;38;1639;1638;1644;1643
132;37;1638;1639;1635;1631
133;37;1641;1640;1637;1638
134;38;1641;1642;1639;1640
135;38;1643;1639;1638;1638
136;38;1642;1638;1638;1639
137;37;1638;1644;1640;1636
138;37;1645;1645;1641;1637
139;44;1635;1635;1637;1641
140;38;1639;1645;1641;1634
141;38;1637;1633;1634;1638
142;38;1640;1640;1641;1639
143;38;1641;1645;1640;1638
144;38;1640;1638;1639;1640
145;38;1642;1639;1644;1639
146;38;1641;1638;1635;1637
147;38;1637;1635;1636;1638
148;38;1639;1643;1644;1638
149;38;1640;1634;1635;1632
150;44;1640;1640;1639;1643
151;37;1641;1640;1639;1638
152;38;1644;1639;1639;1640
153;38;1640;1639;1643;1637
154;38;1639;1644;1640;1634
155;37;1636;1635;1635;1636
156;38;1640;1640;1641;1637
157;38;1644;1644;1637;1634
158;37;1637;1638;1638;1640
159;38;1639;1644;1645;1640
160;38;1641;1638;1638;1638
161;44;1639;1636;1639;1640
162;37;1639;1646;1642;1639
163;37;1638;1635;1635;1637
164;38;1638;1640;1645;1644
165;38;1641;1640;1637;1636
166;38;1642;1637;1637;1639
167;38;1641;1642;1641;1639
168;38;1642;1640;1638;1638
169;38;1643;1639;1638;1639
170;38;1642;1644;1638;1634
171;37;1646;1640;1638;1636
172;44;1634;1634;1638;1639
173;38;1638;1645;1640;1637
174;38;1638;1633;1633;1633
175;38;1635;1639;1643;1642
176;38;1635;1639;1634;1631
177;38;1638;1635;1636;1638
178;38;1641;1641;1645;1640
179;38;1641;1636;1635;1636
180;38;1638;1634;1636;1638
181;37;1638;1642;1643;1637
182;38;1641;1636;1633;1632
183;44;1639;1637;1638;1640
184;38;1640;1641;1639;1636
185;37;1645;1640;1638;1639
186;37;1641;1638;1640;1639
187;38;1641;1640;1636;1634
188;37;1644;1637;1636;1636
189;38;1641;1639;1639;1635
190;38;1642;1643;1636;1635
191;37;1633;1635;1638;1639
192;37;1640;1642;1646;1638
193;38;1642;1636;1637;1638
194;44;1638;1636;1638;1640
195;38;1639;1644;1640;1635
196;38;1637;1635;1635;1636
197;37;1638;1639;1645;1642
198;38;1640;1638;1636;1636
199;37;1640;1634;1634;1634
200;38;1639;1642;1645;1642
201;38;1644;1639;1639;1636
202;38;1642;1638;1638;1638
203;38;1640;1642;1637;1637
204;38;1644;1639;1636;1636
205;44;1635;1637;1637;1639
206;38;1637;1641;1635;1635
207;38;1644;1637;1636;1635
208;38;1637;1637;1643;1639
209;37;1642;1646;1640;1638
210;37;1639;1636;1635;1638
211;38;1641;1640;1645;1641
212;38;1641;1638;1634;1636
213;38;1641;1637;1639;1638
214;37;1637;1641;1637;1636
215;37;1641;1636;1635;1637
216;44;1636;1635;1639;1641
217;38;1641;1643;1639;1636
218;38;1645;1640;1639;1638
219;38;1640;1640;1642;1636
220;37;1641;1645;1639;1635
221;37;1643;1638;1635;1635
222;38;1639;1641;1640;1636
223;38;1643;1640;1639;1635
224;38;1636;1631;1632;1636
225;38;1641;1643;1645;1640
226;38;1642;1639;1636;1638
227;44;1638;1638;1638;1639
228;38;1637;1645;1642;1640
229;38;1638;1635;1636;1636
230;38;1639;1638;1642;1639
231;38;1641;1645;1642;1637
232;38;1641;1636;1634;1633
233;37;1637;1638;1644;1640
234;38;1642;1639;1637;1638
235;37;1641;1639;1638;1639
236;38;1639;1641;1638;1637
237;38;1644;1640;1638;1637
