payload_number;time_stamp;time_adc;time_tx;sg_1;sg_2;sg_3;sg_4
1;2061578;24;94;2237;0;0;0
2;2062574;8;87;2170;0;0;0
3;2063574;7;81;2123;0;0;0
4;2064574;7;81;2184;0;0;0
5;2065574;9;81;2224;0;0;0
6;2066574;8;81;2246;0;0;0
7;2067574;8;81;2241;0;0;0
8;2068574;8;81;2213;0;0;0
9;2069574;9;81;2189;0;0;0
10;2070574;8;82;2194;0;0;0
11;2071574;8;82;2176;0;0;0
12;2072574;8;81;2215;0;0;0
13;2073574;9;85;2233;0;0;0
14;2074574;7;81;2226;0;0;0
15;2075574;8;82;2220;0;0;0
16;2076574;7;81;2194;0;0;0
17;2077574;9;81;2193;0;0;0
18;2078574;7;81;2192;0;0;0
19;2079574;8;81;2176;0;0;0
20;2080574;8;81;2132;0;0;0
21;2081574;9;81;2177;0;0;0
22;2082574;7;81;2196;0;0;0
23;2083574;8;81;2225;0;0;0
24;2084574;7;87;2234;0;0;0
25;2085574;9;81;2204;0;0;0
26;2086574;7;81;2215;0;0;0
27;2087574;7;81;2213;0;0;0
28;2088574;8;82;2215;0;0;0
29;2089574;9;81;2177;0;0;0
30;2090574;7;81;2177;0;0;0
31;2091574;8;81;2217;0;0;0
32;2092574;7;81;2230;0;0;0
33;2093574;9;81;2228;0;0;0
34;2094574;8;81;2218;0;0;0
35;2095574;7;87;2202;0;0;0
36;2096574;8;82;2149;0;0;0
37;2097574;9;81;2186;0;0;0
38;2098574;8;82;2245;0;0;0
39;2099574;8;81;2279;0;0;0
40;2100574;7;81;2240;0;0;0
41;2101574;9;81;2223;0;0;0
42;2102574;7;81;2224;0;0;0
43;2103574;7;81;2189;0;0;0
44;2104574;7;81;2171;0;0;0
45;2105574;9;81;2194;0;0;0
46;2106574;8;87;2194;0;0;0
47;2107574;8;81;2119;0;0;0
48;2108574;8;81;2164;0;0;0
49;2109574;9;81;2221;0;0;0
50;2110574;8;82;2227;0;0;0
51;2111574;8;81;2199;0;0;0
52;2112574;8;81;2202;0;0;0
53;2113574;9;81;2191;0;0;0
54;2114574;7;81;2203;0;0;0
55;2115574;8;82;2142;0;0;0
56;2116574;7;81;2139;0;0;0
57;2117574;9;85;2214;0;0;0
58;2118574;8;81;2223;0;0;0
59;2119574;8;81;2216;0;0;0
60;2120574;8;81;2192;0;0;0
61;2121574;9;81;2177;0;0;0
62;2122574;8;81;2184;0;0;0
63;2123574;7;81;2174;0;0;0
64;2124574;8;81;2134;0;0;0
65;2125574;9;81;2281;0;0;0
66;2126574;8;81;2115;0;0;0
67;2127574;8;81;2172;0;0;0
68;2128574;8;87;2217;0;0;0
69;2129574;9;81;2206;0;0;0
70;2130574;8;82;2193;0;0;0
71;2131574;7;81;2188;0;0;0
72;2132574;7;81;2171;0;0;0
73;2133574;9;81;2155;0;0;0
74;2134574;8;81;2176;0;0;0
75;2135574;8;81;2209;0;0;0
76;2136574;8;81;2226;0;0;0
77;2137574;9;81;2223;0;0;0
78;2138574;8;82;2262;0;0;0
79;2139574;8;87;2212;0;0;0
80;2140574;7;81;2162;0;0;0
81;2141574;9;81;2241;0;0;0
82;2142574;8;81;2175;0;0;0
83;2143574;8;82;2204;0;0;0
84;2144574;8;81;2226;0;0;0
85;2145574;9;81;2226;0;0;0
86;2146574;8;81;2287;0;0;0
87;2147574;7;81;2220;0;0;0
88;2148574;7;81;2187;0;0;0
89;2149574;9;81;2194;0;0;0
90;2150574;7;87;2190;0;0;0
91;2151574;8;81;2175;0;0;0
92;2152574;8;81;2218;0;0;0
93;2153574;9;81;2223;0;0;0
94;2154574;8;81;2221;0;0;0
95;2155574;8;82;2199;0;0;0
96;2156574;8;81;2192;0;0;0
97;2157574;9;81;2177;0;0;0
98;2158574;7;81;2197;0;0;0
99;2159574;7;81;2141;0;0;0
100;2160574;8;81;2152;0;0;0
101;2161574;9;86;2268;0;0;0
102;2162574;8;81;2225;0;0;0
103;2163574;7;81;2220;0;0;0
104;2164574;8;81;2194;0;0;0
105;2165574;9;81;2175;0;0;0
106;2166574;8;81;2188;0;0;0
107;2167574;7;81;2177;0;0;0
108;2168574;7;81;2204;0;0;0
109;2169574;9;81;2135;0;0;0
110;2170574;7;81;2196;0;0;0
111;2171574;8;81;2219;0;0;0
112;2172574;7;87;2230;0;0;0
113;2173574;9;81;2210;0;0;0
114;2174574;7;81;2196;0;0;0
115;2175574;8;81;2204;0;0;0
116;2176574;8;81;2135;0;0;0
117;2177574;9;81;2179;0;0;0
118;2178574;8;82;2270;0;0;0
119;2179574;8;81;2276;0;0;0
120;2180574;7;81;2235;0;0;0
121;2181574;9;81;2245;0;0;0
122;2182574;8;81;2210;0;0;0
123;2183574;7;87;2193;0;0;0
124;2184574;8;81;2176;0;0;0
125;2185574;9;81;2191;0;0;0
126;2186574;8;81;2162;0;0;0
127;2187574;8;81;2196;0;0;0
128;2188574;8;81;2224;0;0;0
129;2189574;9;81;2226;0;0;0
130;2190574;8;82;2224;0;0;0
131;2191574;7;81;2184;0;0;0
132;2192574;8;81;2188;0;0;0
133;2193574;9;81;2193;0;0;0
134;2194574;7;87;2194;0;0;0
135;2195574;8;82;2202;0;0;0
136;2196574;8;82;2225;0;0;0
137;2197574;9;81;2220;0;0;0
138;2198574;8;82;2219;0;0;0
139;2199574;7;81;2193;0;0;0
140;2200574;7;81;2198;0;0;0
141;2201574;9;81;2199;0;0;0
142;2202574;8;81;2190;0;0;0
143;2203574;7;81;2155;0;0;0
144;2204574;8;81;2205;0;0;0
145;2205574;9;86;2229;0;0;0
146;2206574;7;81;2224;0;0;0
147;2207574;7;81;2220;0;0;0
148;2208574;7;81;2218;0;0;0
149;2209574;9;81;2196;0;0;0
150;2210574;8;82;2190;0;0;0
151;2211574;8;81;2171;0;0;0
152;2212574;8;81;2197;0;0;0
153;2213574;9;81;2130;0;0;0
154;2214574;7;81;2121;0;0;0
155;2215574;7;81;2177;0;0;0
156;2216574;8;87;2220;0;0;0
157;2217574;9;81;2212;0;0;0
158;2218574;8;81;2195;0;0;0
159;2219574;7;81;2197;0;0;0
160;2220574;8;81;2184;0;0;0
161;2221574;9;81;2167;0;0;0
162;2222574;8;81;2136;0;0;0
163;2223574;8;81;2145;0;0;0
164;2224574;8;82;2204;0;0;0
165;2225574;9;81;2222;0;0;0
166;2226574;8;81;2249;0;0;0
167;2227574;7;87;2237;0;0;0
168;2228574;8;82;2204;0;0;0
169;2229574;9;81;2253;0;0;0
170;2230574;7;81;2170;0;0;0
171;2231574;8;81;2134;0;0;0
172;2232574;8;82;2199;0;0;0
173;2233574;9;81;2227;0;0;0
174;2234574;8;81;2226;0;0;0
175;2235574;7;81;2188;0;0;0
176;2236574;7;81;2183;0;0;0
177;2237574;9;81;2186;0;0;0
178;2238574;7;87;2186;0;0;0
179;2239574;7;81;2191;0;0;0
180;2240574;7;81;2227;0;0;0
181;2241574;9;81;2246;0;0;0
182;2242574;8;81;2216;0;0;0
183;2243574;7;81;2183;0;0;0
184;2244574;7;81;2181;0;0;0
185;2245574;9;81;2190;0;0;0
186;2246574;8;81;2196;0;0;0
187;2247574;7;81;2179;0;0;0
188;2248574;8;81;2218;0;0;0
189;2249574;9;86;2232;0;0;0
190;2250574;7;81;2222;0;0;0
191;2251574;8;81;2215;0;0;0
192;2252574;7;81;2184;0;0;0
193;2253574;9;81;2193;0;0;0
194;2254574;8;81;2189;0;0;0
195;2255574;8;81;2182;0;0;0
196;2256574;8;81;2126;0;0;0
197;2257574;9;81;2180;0;0;0
198;2258574;7;81;2273;0;0;0
199;2259574;8;81;2248;0;0;0
200;2260574;7;87;2232;0;0;0
