payload_number;time_stamp;time_adc;time_tx;sg_1;sg_2;sg_3;sg_4
1;2217549;16;96;2295;0;0;0
2;2218547;7;82;2404;0;0;0
3;2219547;8;88;2422;0;0;0
4;2220547;7;82;2425;0;0;0
5;2221547;9;82;2382;0;0;0
6;2222547;8;88;2466;0;0;0
7;2223547;8;82;2471;0;0;0
8;2224547;8;83;2482;0;0;0
9;2225547;9;82;2467;0;0;0
10;2226547;8;83;2482;0;0;0
11;2227547;8;83;2490;0;0;0
12;2228547;8;83;2484;0;0;0
13;2229547;9;82;2495;0;0;0
14;2230547;8;89;2477;0;0;0
15;2231547;8;83;2483;0;0;0
16;2232547;7;82;2474;0;0;0
17;2233547;9;86;2502;0;0;0
18;2234547;7;82;2427;0;0;0
19;2235547;8;82;2444;0;0;0
20;2236547;8;83;2424;0;0;0
21;2237547;9;82;2443;0;0;0
22;2238547;8;83;2350;0;0;0
23;2239547;7;82;2345;0;0;0
24;2240547;8;83;2337;0;0;0
25;2241547;9;87;2370;0;0;0
26;2242547;7;82;2230;0;0;0
27;2243547;8;83;2266;0;0;0
28;2244547;8;87;2234;0;0;0
29;2245547;9;82;2269;0;0;0
30;2246547;8;83;2101;0;0;0
31;2247547;8;83;2094;0;0;0
32;2248547;8;82;2094;0;0;0
33;2249547;10;83;2118;0;0;0
34;2250547;8;82;1938;0;0;0
35;2251547;8;83;1947;0;0;0
36;2252547;8;89;1941;0;0;0
37;2253547;9;82;1997;0;0;0
38;2254547;8;83;1813;0;0;0
39;2255547;7;88;1797;0;0;0
40;2256547;7;82;1798;0;0;0
41;2257547;9;82;1833;0;0;0
42;2258547;7;82;1666;0;0;0
43;2259547;8;83;1668;0;0;0
44;2260547;7;82;1640;0;0;0
45;2261547;9;82;1701;0;0;0
46;2262547;8;83;1527;0;0;0
47;2263547;8;89;1511;0;0;0
48;2264547;8;82;1517;0;0;0
49;2265547;9;82;1550;0;0;0
50;2266547;7;88;1427;0;0;0
51;2267547;7;82;1413;0;0;0
52;2268547;8;82;1413;0;0;0
53;2269547;9;82;1438;0;0;0
54;2270547;7;82;1339;0;0;0
55;2271547;7;82;1338;0;0;0
56;2272547;8;83;1340;0;0;0
57;2273547;9;82;1362;0;0;0
58;2274547;8;88;1293;0;0;0
59;2275547;8;83;1313;0;0;0
60;2276547;7;82;1288;0;0;0
